latitude,longitude,category
19.4919474,-99.1336391,mall
19.3055627,-99.1659536,mall
19.3709742,-99.1785425,mall
19.34887,-99.1896444,mall
19.2982052,-99.1813403,mall
19.3392645,-99.1940613,mall
19.3298616,-99.2117868,restaurant
19.3301558,-99.2116168,restaurant
19.3940884,-99.1731027,mall
19.352075,-99.1871283,mall
19.4111424,-99.1997693,restaurant
19.361306,-99.273455,mall
19.4242407,-99.1961286,restaurant
19.4353773,-99.2023107,mall
19.4172258,-99.1998293,restaurant
19.4198798,-99.2004931,restaurant
19.3591079,-99.1840026,cafe
19.2993214,-99.2124868,mall
19.396192,-99.1805871,mall
19.2899239,-99.1313429,mall
19.303401,-99.1728131,mall
19.3084341,-99.2135652,mall
19.3214792,-99.1320604,mall
19.3027827,-99.1230914,mall
19.3052314,-99.1258892,mall
19.3048187,-99.1022689,cafe
19.3020683,-99.1212509,mall
19.3095752,-99.1247034,mall
19.3442414,-99.1565844,restaurant
19.4858572,-99.1306079,mall
19.3776964,-99.1705585,cafe
19.3788566,-99.1869708,bar
19.330889,-99.2100114,restaurant
19.5061135,-99.1445567,mall
19.4701871,-99.1713554,restaurant
19.3997028,-99.2095847,mall
19.3749307,-99.1627191,restaurant
19.3768288,-99.1621119,cafe
19.3449966,-99.1913671,restaurant
19.3495205,-99.1966927,mall
19.3508359,-99.1871977,restaurant
19.3466473,-99.1811832,restaurant
19.3847996,-99.1862004,restaurant
19.320916,-99.0844679,mall
19.4441785,-99.1537601,restaurant
19.4496867,-99.151695,mall
19.5103648,-99.1260223,restaurant
19.3294512,-99.1110949,cafe
19.3040353,-99.1899954,mall
19.3245419,-99.1793331,restaurant
19.3129456,-99.1355876,mall
19.3215144,-99.1337422,mall
19.4418068,-99.2039076,mall
19.4100106,-99.1838431,mall
19.3410456,-99.2524013,mall
19.2867294,-99.1398904,restaurant
19.2975168,-99.1526184,restaurant
19.2916131,-99.1607338,cafe
19.4247103,-99.1329047,mall
19.4315229,-99.1416615,mall
19.420531,-99.1662394,cafe
19.3343926,-99.1838216,cafe
19.3276102,-99.1418582,cafe
19.4377846,-99.2104666,mall
19.3594696,-99.2750243,mall
19.2844554,-99.1813055,restaurant
19.2846269,-99.1813664,restaurant
19.2845457,-99.1813791,restaurant
19.28428,-99.1813953,restaurant
19.2844432,-99.1814244,restaurant
19.2846523,-99.1812144,restaurant
19.3233537,-99.1782822,restaurant
19.3394334,-99.2326451,restaurant
19.3249425,-99.1821671,restaurant
19.4778243,-99.1865226,mall
19.3655453,-99.1669418,mall
19.3453094,-99.1722996,restaurant
19.4979332,-99.1346687,cafe
19.4986301,-99.1345665,cafe
19.499274,-99.1344636,cafe
19.5005462,-99.1341932,cafe
19.5011757,-99.1340938,cafe
19.5018277,-99.1339449,cafe
19.5024392,-99.1337767,cafe
19.4285664,-99.1612967,mall
19.4283801,-99.1618696,mall
19.2720552,-99.1294157,restaurant
19.2813809,-99.1712995,restaurant
19.2811817,-99.1713649,restaurant
19.3495012,-99.1969644,cafe
19.2837132,-99.1642643,restaurant
19.3885172,-99.19095,restaurant
19.4276384,-99.2116606,restaurant
19.4265467,-99.2232449,cafe
19.368185,-99.2628585,cafe
19.5082724,-99.1320827,cafe
19.2936642,-99.2072064,restaurant
19.4241086,-99.1953855,cafe
19.3729389,-99.1728441,mall
19.4360825,-99.1713291,mall
19.3342888,-99.1780911,restaurant
19.2924171,-99.1781226,restaurant
19.3412658,-99.1902985,restaurant
19.2855267,-99.175917,restaurant
19.3612009,-99.1972235,mall
19.3457498,-99.1811559,restaurant
19.3626491,-99.2019519,restaurant
19.3853293,-99.0831649,restaurant
19.3846106,-99.0789061,mall
19.3829395,-99.0785198,restaurant
19.3839756,-99.0768623,restaurant
19.3838253,-99.0770893,restaurant
19.4308567,-99.206502,restaurant
19.4343993,-99.2092435,restaurant
19.3259482,-99.1839357,restaurant
19.4280191,-99.1509776,mall
19.4376315,-99.1406997,mall
19.3390256,-99.2429739,mall
19.345576,-99.1772242,mall
19.3107624,-99.1597057,restaurant
19.3433228,-99.1259978,mall
19.3512139,-99.1618279,cafe
19.3382771,-99.0646484,restaurant
19.4455469,-99.106082,cafe
19.4198387,-99.1145438,restaurant
19.3251252,-99.1849241,cafe
19.3625491,-99.0727878,restaurant
19.3736527,-99.1228266,restaurant
19.3686362,-99.1215178,mall
19.3845393,-99.175888,mall
19.4959536,-99.2135823,restaurant
19.2986534,-99.1515103,restaurant
19.296954,-99.155001,restaurant
19.29463,-99.1306417,restaurant
19.2964201,-99.2413988,cafe
19.3686155,-99.1558362,restaurant
19.334674,-99.1784705,restaurant
19.3302267,-99.1833922,restaurant
19.3326674,-99.1764928,cafe
19.3291414,-99.1759063,cafe
19.3272612,-99.1828829,restaurant
19.3272173,-99.1828775,restaurant
19.3631168,-99.2872859,restaurant
19.4991243,-99.1449591,cafe
19.5045507,-99.1353598,cafe
19.3734431,-99.1833221,cafe
19.3772481,-99.2545271,mall
19.4735462,-99.1898144,mall
19.4699786,-99.1881793,restaurant
19.4800038,-99.1864734,restaurant
19.3818463,-99.0793051,restaurant
19.3770078,-99.0953303,mall
19.3476097,-99.0681564,restaurant
19.350115,-99.0723191,restaurant
19.3505592,-99.0747933,restaurant
19.2202307,-99.1488787,restaurant
19.429398,-99.1568992,mall
19.3470759,-99.0668032,restaurant
19.3497082,-99.0714314,restaurant
